Pais,id_sede,red_social,url
Trinidad and Tobago,ETRIN,desconocido,arg_trinidad_tobago
Trinidad and Tobago,ETRIN,facebook,www.facebook.com/ArgentinaEnTrinidadYTobago
Tunisia,ETUNE,facebook,https://www.facebook.com/ArgEnTunez/
Tunisia,ETUNE,instagram,https://www.instagram.com/embargentinatn
Tunisia,ETUNE,twitter,https://www.twitter.com/EmbajadaTunez
Tunisia,ETUNE,youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
Turkiye,ETURQ,desconocido,@ARGenTurquia
Turkiye,ETURQ,desconocido,@Argentinaenturquia/
Turkiye,ETURQ,desconocido,@embargenturquia
Ukraine,EUCRA,facebook,https://www.facebook.com/ArgentinaEnUcrania
Ukraine,EUCRA,instagram,https://www.instagram.com/argenucrania/
United Arab Emirates,EEARB,facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
United States,CCHIC,facebook,https://www.facebook.com/ArgentinaEnChicago
United States,CCHIC,twitter,https://twitter.com/argenchicago
United States,CCHIC,youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
United States,CHOUS,desconocido,@ARGenHouston
United States,CHOUS,facebook,https://www.facebook.com/ArgentinaEnHouston/
United States,CLANG,desconocido,@arg_clang
United States,CLANG,facebook,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel
United States,CMIAM,desconocido,@argenmiami
United States,CMIAM,desconocido,consuladoargentinomia
United States,CMIAM,facebook,https://es-la.facebook.com/consuladoargentino.miami/
United States,CNYOR,facebook,https://www.facebook.com/ARGenNewYork
United States,CNYOR,instagram,https://www.instagram.com/argennewyork/
United States,CNYOR,twitter,https://twitter.com/ARGenNewYork
United States,CNYOR,youtube,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg
United States,EEEUU,facebook,https://www.facebook.com/ARGinUSA/
United States,EEEUU,flickr,https://www.flickr.com/photos/ARGinUSA/
United States,EEEUU,instagram,https://www.instagram.com/ARGinUSA/
United States,EEEUU,linkedin,www.linkedin.com/in/ARGinUSA
United States,EEEUU,twitter,https://twitter.com/ARGinUSA
United States,EEEUU,youtube,https://www.youtube.com/ARGinUSA
United States,EEOEA,facebook,www.facebook.com/ARGenOEA/
United States,EEOEA,instagram,www.instagram.com/argenoea/
